City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,zheleznogorsk-ilimskiy,56.5768,104.1217,279.75,67,100,0.96,RU,1694393017
153,berdigestyakh,62.0989,126.6992,276.05,83,100,2.67,RU,1694393017
154,guiuan,11.0333,125.7247,301.2,74,70,2.39,PH,1694393017
155,narasannapeta,18.4167,84.05,300.47,85,56,2.0,IN,1694393018
156,el alto,-4.2714,-81.2147,292.96,84,6,6.43,PE,1694393018
157,mount gambier,-37.8333,140.7667,288.65,54,9,2.08,AU,1694393018
158,brookings,44.3114,-96.7984,293.15,50,0,3.09,US,1694392980
159,revda,56.801,59.9303,281.44,97,100,3.83,RU,1694393018
160,gilgit,35.9221,74.3087,297.48,35,0,0.89,PK,1694393019
161,hammerfest,70.6634,23.6821,282.4,93,75,5.14,NO,1694393019
162,korla,41.7597,86.1469,297.05,26,6,0.71,CN,1694392757
163,dunedin,-45.8742,170.5036,283.04,72,91,5.36,NZ,1694393012
164,general salgado,-20.6483,-50.3606,297.95,35,0,2.6,BR,1694393019
165,arauco,-37.2463,-73.3175,283.07,94,100,1.52,CL,1694392925
166,sitka,57.0531,-135.33,295.09,37,75,5.66,US,1694393020
167,bredy,52.4153,60.3411,282.57,86,100,3.4,RU,1694393020
168,buala,-8.145,159.5921,300.57,78,100,4.18,SB,1694393020
169,itoman,26.1247,127.6694,304.58,70,20,5.14,JP,1694393020
170,minas de marcona,-15.2119,-75.1103,288.67,70,0,4.82,PE,1694393020
171,uliastay,47.7417,96.8444,281.14,37,100,1.58,MN,1694393021
172,slatyne,50.2242,36.1608,284.04,75,10,2.72,UA,1694393021
173,mahomet,40.1953,-88.4042,295.49,64,1,2.3,US,1694393021
174,oromocto,45.8351,-66.4792,291.11,93,100,1.54,CA,1694392938
175,anadyr,64.75,177.4833,282.43,66,40,5.0,RU,1694393022
176,mount pearl,47.5166,-52.7813,293.4,93,75,5.66,CA,1694393022
177,vanino,49.0869,140.2543,289.38,74,100,0.34,RU,1694393022
178,kurtamysh,54.9103,64.4319,283.07,77,100,3.0,RU,1694393022
179,isafjordur,66.0755,-23.124,277.83,66,0,2.2,IS,1694393023
180,kruisfontein,-34.0033,24.7314,282.76,79,95,9.76,ZA,1694393023
181,olonkinbyen,70.9221,-8.7187,275.47,68,100,3.65,SJ,1694393023
182,nizhneudinsk,54.9076,99.0276,280.95,76,7,2.06,RU,1694393023
183,cidade velha,14.9167,-23.6167,300.41,89,20,3.09,CV,1694393024
184,kualakapuas,-3.0091,114.3876,303.36,59,9,2.12,ID,1694393024
185,at taj,24.2049,23.2857,298.26,42,0,4.72,LY,1694392845
186,kirakira,-10.4544,161.9205,302.14,63,35,4.45,SB,1694393024
187,amga,60.8953,131.9608,279.84,70,33,1.89,RU,1694393024
188,lamu,-2.2717,40.902,297.46,89,100,4.92,KE,1694393025
189,slave lake,55.2834,-114.769,297.14,31,0,6.17,CA,1694393025
190,jamestown,42.097,-79.2353,293.92,100,100,3.09,US,1694392985
191,chhagalnaiya,23.03,91.5069,299.11,93,100,1.77,BD,1694393025
192,lesozavodsk,45.4794,133.4244,293.49,84,100,3.17,RU,1694392937
193,hadibu,12.65,54.0333,299.28,82,30,7.45,YE,1694393026
194,vilyuchinsk,52.9306,158.4028,292.3,46,2,4.72,RU,1694393026
195,nouadhibou,20.931,-17.0347,298.14,69,36,4.12,MR,1694393026
196,masterton,-40.9597,175.6575,288.64,56,87,5.45,NZ,1694392955
197,phuthaditjhaba,-28.5242,28.8158,288.34,29,0,2.28,ZA,1694393027
198,conception bay south,47.4999,-52.9981,293.73,94,99,3.45,CA,1694393027
199,taksimo,56.3444,114.8794,281.18,55,65,1.14,RU,1694393027
